Verb,target,Government,Narrative,Art,Corporation,Game,Humans in general,User,Image,Object,Creator,Law enforcement,Environment,Military
Smiling,TRUE,0,0,2,0,0,0,2,0,0,0,0,0,0
Social engineering,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Socialising,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Solving,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Sorted,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Sorting,TRUE,0,0,2,0,0,0,0,0,0,2,0,0,0
Speculating,TRUE,0,1,6,2,0,0,0,0,0,5,0,0,0
Spying,TRUE,0,0,1,0,1,0,1,0,0,1,0,0,0
Startled,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0
Stating,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Stealing,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Stolen,FALSE,0,1,0,0,0,0,0,0,1,0,0,0,0
Stopping,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Streamed,FALSE,0,0,0,0,2,1,0,0,0,0,0,0,1
Streaming,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Studying,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Subcontracting,TRUE,0,2,0,2,0,0,0,0,0,0,0,0,0
Subverted,FALSE,1,0,0,0,3,0,0,0,0,0,1,0,1
Subverting,TRUE,0,0,7,0,2,0,2,0,0,7,0,0,0
Supervising,TRUE,1,0,0,0,1,0,0,0,0,0,0,0,0
Supporting,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Surprising,TRUE,0,0,2,0,0,0,0,2,0,0,0,0,0
Surveilled,FALSE,0,4,2,1,2,5,1,0,0,0,0,1,0
Surveilling,TRUE,4,10,1,5,4,0,2,0,0,0,2,0,2
Surveying,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Surviving,TRUE,0,0,0,0,1,0,1,0,0,0,0,0,0
Swarming,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Synthesizing,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Talking,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Targeted,FALSE,0,1,1,0,1,2,0,0,0,0,0,0,1
Targeting,TRUE,0,0,0,0,3,0,1,0,0,0,0,0,2
Teaching,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Tested,FALSE,0,0,1,0,0,1,0,0,0,0,0,0,0
Testing,TRUE,0,1,2,1,0,0,0,0,0,2,0,0,0
Thinking,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Threatened,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0
Threatening,TRUE,1,3,1,1,0,0,0,0,0,0,2,0,0
Throwing,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Touching,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Tracked,FALSE,0,0,1,0,1,0,2,0,0,0,0,0,0
Tracking,TRUE,1,1,0,0,1,0,0,0,0,0,0,0,1
Training,TRUE,1,1,28,1,1,1,1,0,0,26,0,0,0
Transformed,FALSE,0,0,4,0,0,0,0,1,0,1,0,2,0
Transforming,TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0
Trapping,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Traversing,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Tricked,FALSE,0,2,1,1,2,0,0,0,1,0,2,0,1
Tricking,TRUE,0,0,14,1,1,1,9,1,0,3,0,0,0
Triggering,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Trolling,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Trusted,FALSE,0,0,0,0,2,0,2,0,0,0,0,0,0
Unaware,FALSE,0,0,1,0,0,1,0,0,0,0,0,0,0
Unsettled,FALSE,0,1,0,0,0,0,1,0,0,0,0,0,0
Uploaded,FALSE,0,0,2,0,0,0,0,2,0,0,0,0,0
uploading,TRUE,0,0,4,0,0,0,2,0,0,2,0,0,0
Used,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Using,TRUE,0,0,0,1,1,0,0,0,0,0,0,0,0
Verified,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Viewed,FALSE,0,1,2,0,0,0,1,0,0,0,1,1,0
Viewing,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Visiting,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Visualising,TRUE,0,0,3,0,0,0,0,3,0,0,0,0,0
Waiting,TRUE,0,0,1,0,0,1,0,0,0,0,0,0,0
Walking,TRUE,0,1,3,0,0,1,2,0,0,1,0,0,0
Warning,TRUE,1,1,0,0,0,0,0,0,0,0,0,0,0
Watched,FALSE,0,6,8,2,0,6,1,2,0,0,0,3,0
Watching,TRUE,3,9,17,3,5,7,14,0,0,3,1,0,0
Wearing,TRUE,0,0,8,0,0,0,8,0,0,0,0,0,0
Working,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Worrying,TRUE,0,2,0,1,0,1,0,0,0,0,0,0,0
Yelling,TRUE,0,3,0,0,0,2,0,0,0,0,1,0,0
NA,NA,0,2,1,0,0,1,1,0,0,0,1,0,0
